2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
11-1011,Management Occupations,Top Executives,Chief Executives,Admiral,x
11-1011,Management Occupations,Top Executives,Chief Executives,CEO,
11-1011,Management Occupations,Top Executives,Chief Executives,Chief Executive Officer,
11-1011,Management Occupations,Top Executives,Chief Executives,Chief Financial Officer,x
11-1011,Management Occupations,Top Executives,Chief Executives,Chief Operating Officer,x
11-1011,Management Occupations,Top Executives,Chief Executives,Chief Sustainability Officer,
11-1011,Management Occupations,Top Executives,Chief Executives,Commissioner of Internal Revenue,
11-1011,Management Occupations,Top Executives,Chief Executives,COO,
11-1011,Management Occupations,Top Executives,Chief Executives,County Commissioner,
11-1011,Management Occupations,Top Executives,Chief Executives,Government Service Executive,
11-1011,Management Occupations,Top Executives,Chief Executives,Governor,x
11-1011,Management Occupations,Top Executives,Chief Executives,Mayor,
11-1011,Management Occupations,Top Executives,Chief Executives,School Superintendent,x
11-1011,Management Occupations,Top Executives,Chief Executives,University President,x
11-1021,Management Occupations,Top Executives,General and Operations Managers,Department Store General Manager,
11-1021,Management Occupations,Top Executives,General and Operations Managers,Department Store Manager,x
11-1021,Management Occupations,Top Executives,General and Operations Managers,General Manager,
11-1021,Management Occupations,Top Executives,General and Operations Managers,General Superintendent,x
11-1021,Management Occupations,Top Executives,General and Operations Managers,Manufacturing Operations Manager,
11-1021,Management Occupations,Top Executives,General and Operations Managers,Operational Risk Manager,x
11-1021,Management Occupations,Top Executives,General and Operations Managers,Operations Manager,
11-1021,Management Occupations,Top Executives,General and Operations Managers,Radio Station Manager,x
11-1021,Management Occupations,Top Executives,General and Operations Managers,Television Store Manager,
11-1031,Management Occupations,Top Executives,Legislators,City Alderman,
11-1031,Management Occupations,Top Executives,Legislators,City Council Member,x
11-1031,Management Occupations,Top Executives,Legislators,Congressional Representative,
11-1031,Management Occupations,Top Executives,Legislators,Councilor,
11-1031,Management Occupations,Top Executives,Legislators,Legislator,
11-1031,Management Occupations,Top Executives,Legislators,Member of Congress,
11-1031,Management Occupations,Top Executives,Legislators,Selectman,
11-1031,Management Occupations,Top Executives,Legislators,Senator,x
11-1031,Management Occupations,Top Executives,Legislators,Tribal Council Member,x
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Advertising Director,x
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Advertising Executive,x
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Advertising Manager,
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Classified Advertising Manager,
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Promotions Director,x
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,Promotions Manager,
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,VP Advertising,
11-2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,VP Promotions,
11-2021,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing Managers,Internet Marketing Manager,x
11-2021,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing Managers,Marketing Administrator,x
11-2021,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing Managers,Marketing Director,x
11-2021,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing Managers,VP Marketing,
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,District Sales Manager,x
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,E-Commerce Director,
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,Export Manager,x
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,Regional Sales Manager,x
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,Sales Account Manager,
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,Sales Director,x
11-2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,Territory Sales Manager,
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Communication Manager,
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Public Affairs Director,x
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Public Information Director,
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Public Information Relations Manager,
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Public Relations Director,
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Public Relations Manager,
11-2032,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations Managers,Publicity Director,x
11-2033,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Fundraising Managers,Donor Relations Manager,x
11-2033,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Fundraising Managers,Foundation Director,x
11-2033,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Fundraising Managers,Funding Coordinator,x
11-2033,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Fundraising Managers,Fundraising Director,x
11-3012,Management Occupations,Operations Specialties Managers,Administrative Services Managers,Business Office Manager,
11-3012,Management Occupations,Operations Specialties Managers,Administrative Services Managers,Business Unit Manager,
11-3012,Management Occupations,Operations Specialties Managers,Administrative Services Managers,Records and Information Manager,x
11-3012,Management Occupations,Operations Specialties Managers,Administrative Services Managers,Records Management Director,x
11-3012,Management Occupations,Operations Specialties Managers,Administrative Services Managers,University Registrar,x
11-3013,Management Occupations,Operations Specialties Managers,Facilities Managers,Conference Center Manager,x
11-3013,Management Occupations,Operations Specialties Managers,Facilities Managers,Director of University Housing,x
11-3013,Management Occupations,Operations Specialties Managers,Facilities Managers,Stadium Manager,x
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Application Development Director,
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Chief Technology Officer,x
11-3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,Computer Operations Manager,
