Type,Name
Service/Service Learning, A-Starco Athletic Sneaker Foundation
Academic/Honor Societies,+Human Capital Consulting
Cultural/Ethnic,+Human Capital Consulting
Graduate/Professional,+Human Capital Consulting
Service/Service Learning,+Human Capital Consulting
Science/Technology/Engineering,1 Team Coding
Academic/Honor Societies,180 Degrees Consulting at the University of Michigan
Graduate/Professional,180 Degrees Consulting at the University of Michigan
Business & Entrepreneurship,180 Degrees Consulting at the University of Michigan
Academic/Honor Societies,1931E Honor Society
Graduate/Professional,1L Oral Advocacy Competition
Academic/Honor Societies,1st Generation Engineers
Cultural/Ethnic,1st Generation Engineers
Graduate/Professional,1st Generation Engineers
Graduate/Professional,390th Booster Club
Creative & Performing Arts,58 Greene
Cultural/Ethnic,58 Greene
Religious/Spiritual,812 Campus Ministry
Activism,A'Subuhi Multicultural Council
Cultural/Ethnic,A'Subuhi Multicultural Council
Governance,A'Subuhi Multicultural Council
Health & Wellness,A'Subuhi Multicultural Council
Service/Service Learning,A'Subuhi Multicultural Council
Gender/Sexuality,A'Subuhi Multicultural Council
Science/Technology/Engineering,A2 Data Dive
Graduate/Professional,A2 Data Dive
Service/Service Learning,A2 Data Dive
Activism,Abeng Multicultural Council
Cultural/Ethnic,Abeng Multicultural Council
Service/Service Learning,Abeng Multicultural Council
Gender/Sexuality,Abeng Multicultural Council
Academic/Honor Societies,Academy of General Dentistry University of Michigan Chapter
Graduate/Professional,Academy of General Dentistry University of Michigan Chapter
Religious/Spiritual,ACCESS
Sport Clubs & Recreation,ACHA DIII Men’s Hockey (MCHC) at the University of Michigan
Science/Technology/Engineering,ACS MedChem
Graduate/Professional,ACS MedChem
Science/Technology/Engineering,Action Analytics
Sport Clubs & Recreation,Action Analytics
Activism,Active Minds at the University of Michigan
Cultural/Ethnic,Active Minds at the University of Michigan
Health & Wellness,Active Minds at the University of Michigan
Service/Service Learning,Active Minds at the University of Michigan
Activism,Adam Smith Society
Academic/Honor Societies,Adam Smith Society
Governance,Adam Smith Society
Graduate/Professional,Adam Smith Society
Health & Wellness,Adaptive Gymnastics 
Service/Service Learning,Adaptive Gymnastics 
Sport Clubs & Recreation,Adaptive Gymnastics 
Cultural/Ethnic,Adaptive Sports Student Interest Group of University of Michigan
Health & Wellness,Adaptive Sports Student Interest Group of University of Michigan
Service/Service Learning,Adaptive Sports Student Interest Group of University of Michigan
Sport Clubs & Recreation,Adaptive Sports Student Interest Group of University of Michigan
Health & Wellness,Adventist Christian Fellowship
Religious/Spiritual,Adventist Christian Fellowship
Service/Service Learning,Adventist Christian Fellowship
Academic/Honor Societies,Aerospace Graduate Student Advisory Committee
Governance,Aerospace Graduate Student Advisory Committee
Graduate/Professional,Aerospace Graduate Student Advisory Committee
Activism,Affordable Michigan
Health & Wellness,Affordable Michigan
Service/Service Learning,Affordable Michigan
Cultural/Ethnic,Africa Business Club
Graduate/Professional,Africa Business Club
Activism,African American Education Initiative
Cultural/Ethnic,African American Education Initiative
Activism,African Graduate Students Association
Cultural/Ethnic,African Graduate Students Association
Science/Technology/Engineering,African Graduate Students Association
Graduate/Professional,African Graduate Students Association
Health & Wellness,African Graduate Students Association
Cultural/Ethnic,African Students Association
Graduate/Professional,Agora Journal of Urban Planning and Design
Media & Creative Writing,Agora Journal of Urban Planning and Design
Activism,Ahimsa Multicultural Council (Oxford)
Cultural/Ethnic,Ahimsa Multicultural Council (Oxford)
Governance,Ahimsa Multicultural Council (Oxford)
Gender/Sexuality,Ahimsa Multicultural Council (Oxford)
Activism,AIESEC
Cultural/Ethnic,AIESEC
Graduate/Professional,AIESEC
Service/Service Learning,AIESEC
Business & Entrepreneurship,AIESEC
Health & Wellness,Aikido Yoshokai Club at the University of Michigan
Sport Clubs & Recreation,Aikido Yoshokai Club at the University of Michigan
Cultural/Ethnic,Albanian American Student Organization
Service/Service Learning,Albanian American Student Organization
Cultural/Ethnic,"Alden J. ""Butch"" Carpenter Memorial Scholarship Banquet"
Graduate/Professional,"Alden J. ""Butch"" Carpenter Memorial Scholarship Banquet"
Service/Service Learning,"Alden J. ""Butch"" Carpenter Memorial Scholarship Banquet"
Activism,Alex Pan Club
Academic/Honor Societies,Alex Pan Club
Creative & Performing Arts,Alex Pan Club
Cultural/Ethnic,Alex Pan Club
Governance,Alex Pan Club
Graduate/Professional,Alex Pan Club
Health & Wellness,Alex Pan Club
Media & Creative Writing,Alex Pan Club
Religious/Spiritual,Alex Pan Club
Service/Service Learning,Alex Pan Club
Social Fraternity/Sorority,Alex Pan Club
Sport Clubs & Recreation,Alex Pan Club
Environmental,Alex Pan Club
Gender/Sexuality,Alex Pan Club
Academic/Honor Societies,Alexander Hamilton Society
Governance,Alexander Hamilton Society
Graduate/Professional,Alexander Hamilton Society
Activism,Alice Lloyd Hall Council
Governance,Alice Lloyd Hall Council
Service/Service Learning,Alice Lloyd Hall Council
Graduate/Professional,Alliance Consulting Group
Business & Entrepreneurship,Alliance Consulting Group
Service/Service Learning,Alliance For Education
Social Fraternity/Sorority,Alpha Chi Omega
Academic/Honor Societies,Alpha Chi Sigma
Science/Technology/Engineering,Alpha Chi Sigma
Graduate/Professional,Alpha Chi Sigma
Service/Service Learning,Alpha Chi Sigma
Social Fraternity/Sorority,Alpha Delta Phi 
Academic/Honor Societies,Alpha Delta Pi
Service/Service Learning,Alpha Delta Pi
Social Fraternity/Sorority,Alpha Delta Pi
Academic/Honor Societies,Alpha Epsilon Delta 
Graduate/Professional,Alpha Epsilon Delta 
