Career Experience ID,Student ID,Organization ID,Career Experience Name,Career Path,Is Desired Career Path,Start Date,End Date
1,1,68,Cargo Agent,Office and Administrative Support Occupations,False,2016-09-07,2018-09-01
2,1,12,Logging Forwarder Operator,"Farming, Fishing, and Forestry Occupations",False,2018-09-03,2020-08-31
3,1,70,Greenskeeper Laborer,Building and Grounds Cleaning and Maintenance Occupations,False,2020-09-12,2023-08-31
4,1,51,Marine Biologist,"Life, Physical, and Social Science Occupations",False,2023-09-05,2024-08-30
5,1,12,Print Retoucher,Production Occupations,False,2024-09-16,2025-08-30
6,1,42,Dock Loader,Transportation and Material Moving Occupations,False,2025-09-04,2030-08-29
7,1,33,Sandwich Maker,Food Preparation and Serving Related Occupations,False,2030-09-23,2031-08-29
8,1,73,Amusement Park Manager,Management Occupations,True,2031-09-09,present
9,2,20,Curtain Mender,"Installation, Maintenance, and Repair Occupations",True,2016-08-27,2017-08-01
10,2,18,Radio Artist,"Arts, Design, Entertainment, Sports, and Media Occupations",False,2017-08-24,2018-08-01
11,2,56,Food Scientist,"Life, Physical, and Social Science Occupations",True,2018-08-23,2024-07-30
12,2,18,Dinkey Engine Firer,Transportation and Material Moving Occupations,True,2024-08-19,2029-07-29
13,2,82,Jacquard Loom Weaver,Production Occupations,True,2029-08-27,2030-07-29
14,2,69,Pediatric Social Worker,Community and Social Service Occupations,True,2030-08-19,2032-07-28
15,2,62,Crown and Bridge Technician,Production Occupations,False,2032-07-29,present
16,3,38,Taxicab Dispatcher,Office and Administrative Support Occupations,False,2016-01-28,2016-12-31
17,3,6,Directory Assistance Operator,Office and Administrative Support Occupations,True,2017-01-03,2017-12-31
18,3,44,Visual Merchandiser,"Arts, Design, Entertainment, Sports, and Media Occupations",False,2018-01-25,2018-12-31
19,3,65,Air Analysis Engineering Technician,Architecture and Engineering Occupations,False,2019-01-09,2019-12-31
20,3,12,Front-End Loader Operator,Transportation and Material Moving Occupations,False,2020-01-01,2020-12-30
21,3,78,Load Haul Dump Operator,Construction and Extraction Occupations,False,2021-01-19,2021-12-30
22,3,21,Wildlife and Game Protector,Protective Service Occupations,True,2022-01-08,2022-12-30
23,3,85,Middle School Principal,Management Occupations,False,2023-01-17,2027-12-29
24,3,8,Brewery Pumper,Transportation and Material Moving Occupations,False,2028-01-06,present
25,4,24,Exploration Geologist,"Life, Physical, and Social Science Occupations",True,2017-07-24,2021-06-30
