Internship ID,Student ID,Organization ID,Internship Name,Career Path,Is Desired Career Path,Interviewed?,Accepted?,Completed?,Start Date,End Date
1,1,16,Port Captain Intern,Healthcare Support Occupations,False,False,False,False,2018-01-29,2018-04-04
2,1,44,Trail Construction Worker Intern,"Farming, Fishing, and Forestry Occupations",True,True,True,False,2018-01-20,2018-03-07
3,1,23,Airborne Mine Countermeasures (Amcm) Aircrewman Intern,Healthcare Practitioners and Technical Occupations,True,False,False,False,2019-01-09,2019-02-12
4,1,98,Operations Control Center Briefing Officer Intern,Transportation and Material Moving Occupations,False,False,False,False,2019-01-20,2019-04-12
5,1,46,Student Loan Correspondent Intern,Production Occupations,False,True,True,False,2020-01-27,2020-04-13
6,1,25,Public Health Administrator Intern,Community and Social Service Occupations,False,False,False,False,2020-01-04,2020-02-25
7,1,6,Glass Block Bender Intern,Educational Instruction and Library Occupations,True,True,True,False,2021-01-11,2021-04-09
8,1,57,Casino Supervisor Intern,Building and Grounds Cleaning and Maintenance Occupations,False,True,False,False,2021-01-03,2021-02-15
9,1,87,Junior High School Special Education Teacher Intern,Production Occupations,False,True,False,False,2021-01-24,2021-04-09
10,1,77,Certified Public Accountant Intern,Personal Care and Service Occupations,True,True,True,True,2022-01-29,2022-03-06
11,1,80,Insulation Machine Operator Intern,Management Occupations,True,False,False,False,2022-01-12,2022-03-01
12,1,74,Software Systems Engineer Intern,Healthcare Practitioners and Technical Occupations,False,True,False,False,2022-01-12,2022-04-04
13,1,29,Fast Food Cook Intern,Office and Administrative Support Occupations,True,False,False,False,2023-01-27,2023-03-06
14,1,84,Drywall Stripper Helper Intern,"Arts, Design, Entertainment, Sports, and Media Occupations",True,False,False,False,2024-01-13,2024-02-17
15,1,78,Title Searcher Intern,Production Occupations,False,False,False,False,2024-01-27,2024-02-29
16,1,42,Multi-Discipline Counter-Intelligence Operator/Analyst Intern,Computer and Mathematical Occupations,True,True,True,True,2024-01-15,2024-03-12
17,1,94,Electrophysiology Nurse Practitioner Intern,"Installation, Maintenance, and Repair Occupations",True,False,False,False,2024-01-26,2024-04-22
18,1,88,Backup Sawyer Intern,Management Occupations,False,False,False,False,2024-01-28,2024-04-22
19,2,69,Perfusionist Intern,"Arts, Design, Entertainment, Sports, and Media Occupations",False,False,False,False,2018-01-15,2018-03-16
20,2,15,Power Lineworker Intern,"Farming, Fishing, and Forestry Occupations",True,False,False,False,2018-01-14,2018-03-08
21,2,49,Certified Genetic Counselor Intern,Construction and Extraction Occupations,False,False,False,False,2019-01-22,2019-03-03
22,2,26,Admissions Counselor Intern,Building and Grounds Cleaning and Maintenance Occupations,False,False,False,False,2019-01-24,2019-04-20
23,2,65,Highway Engineering Technician Intern,Legal Occupations,False,True,True,True,2020-01-08,2020-03-02
24,2,62,Deep Tissue Massage Therapist Intern,Food Preparation and Serving Related Occupations,False,True,False,False,2020-01-15,2020-02-27
25,2,5,Loading Machine Operator Helper Intern,Healthcare Support Occupations,False,True,False,False,2020-01-17,2020-02-29
26,2,90,Aircraft Engineer Intern,Business and Financial Operations Occupations,False,True,True,False,2021-01-25,2021-04-14
27,2,96,Clinical Informatics Analyst Intern,Protective Service Occupations,False,False,False,False,2021-01-05,2021-03-16
28,2,70,Neurology Technician Intern,Protective Service Occupations,True,True,False,False,2021-01-22,2021-02-24
29,2,36,Terrazzo Setter Intern,Architecture and Engineering Occupations,True,False,False,False,2022-01-09,2022-03-23
30,2,74,Therapeutic Recreation Specialist Intern,Personal Care and Service Occupations,False,False,False,False,2022-01-25,2022-04-19
31,2,30,Pedicab Driver Intern,"Farming, Fishing, and Forestry Occupations",False,False,False,False,2022-01-16,2022-03-02
32,2,6,Marine Engineering Technologist Intern,Business and Financial Operations Occupations,True,False,False,False,2022-01-28,2022-03-08
33,2,50,Professional Auto Racer Intern,"Arts, Design, Entertainment, Sports, and Media Occupations",False,False,False,False,2022-01-26,2022-03-04
34,2,86,Electronic Maintenance Supervisor Intern,"Installation, Maintenance, and Repair Occupations",False,True,True,True,2023-01-10,2023-03-14
35,2,12,Pump Stitcher Intern,Healthcare Support Occupations,True,False,False,False,2023-01-25,2023-03-19
36,2,58,Chicken Handler Intern,Architecture and Engineering Occupations,False,False,False,False,2024-01-09,2024-03-20
37,2,47,Forest Pathology Professor Intern,Educational Instruction and Library Occupations,False,True,True,False,2024-01-24,2024-04-15
38,2,17,Sweater Designer Intern,Transportation and Material Moving Occupations,False,False,False,False,2024-01-04,2024-03-14
39,4,48,Lead Sewage Plant Operator Intern,Community and Social Service Occupations,True,False,False,False,2019-01-24,2019-03-28
40,4,25,Information Systems Manager Intern,"Farming, Fishing, and Forestry Occupations",False,True,True,False,2019-01-19,2019-02-25
41,5,52,Napkin Machine Operator Intern,"Life, Physical, and Social Science Occupations",False,False,False,False,2019-01-17,2019-03-20
42,5,56,Physical Therapy Technician Intern,Protective Service Occupations,False,False,False,False,2020-01-11,2020-03-19
43,5,72,Concrete Finisher Intern,Educational Instruction and Library Occupations,True,False,False,False,2020-01-16,2020-02-17
44,5,83,Aviation All-Source Intelligence Intern,Business and Financial Operations Occupations,False,True,True,True,2020-01-19,2020-03-31
45,5,32,Telephone Answering Service Operator Intern,Personal Care and Service Occupations,False,False,False,False,2020-01-23,2020-03-06
46,5,80,Video Equipment Technician Intern,Computer and Mathematical Occupations,False,False,False,False,2021-01-07,2021-02-21
47,5,60,Ballet Dancer Intern,"Farming, Fishing, and Forestry Occupations",False,True,True,True,2021-01-02,2021-02-19
48,5,87,Precast Concrete Ironworker Intern,Transportation and Material Moving Occupations,True,True,False,False,2021-01-04,2021-04-01
49,5,40,Copy Desk Chief Intern,"Installation, Maintenance, and Repair Occupations",False,False,False,False,2022-01-14,2022-04-03
50,8,60,Beef Cattle Nutritionist Intern,Computer and Mathematical Occupations,False,False,False,False,2020-01-16,2020-02-17
51,8,60,Software Engineer Intern,Legal Occupations,True,True,True,False,2020-01-25,2020-03-17
52,8,32,Naval Aircrewman Avionics Intern,"Farming, Fishing, and Forestry Occupations",False,True,True,False,2021-01-06,2021-02-15
53,8,33,Florist Designer Intern,Architecture and Engineering Occupations,True,False,False,False,2021-01-30,2021-03-06
54,8,75,Trace Evidence Technician Intern,"Arts, Design, Entertainment, Sports, and Media Occupations",False,False,False,False,2021-01-06,2021-03-11
55,8,84,Greenhouse Manager Intern,Sales and Related Occupations,False,False,False,False,2022-01-17,2022-03-31
56,8,92,Dredge Engineer Intern,Transportation and Material Moving Occupations,True,True,True,True,2022-01-05,2022-03-24
57,8,85,Animal Warden Intern,"Installation, Maintenance, and Repair Occupations",True,True,False,False,2022-01-09,2022-02-28
58,8,25,Land Title Examiner Intern,Architecture and Engineering Occupations,True,False,False,False,2022-01-12,2022-02-28
59,8,17,Livestock Breeder Intern,Sales and Related Occupations,False,False,False,False,2023-01-27,2023-04-26
60,8,5,Naval Aircrewman Operator Intern,Computer and Mathematical Occupations,True,False,False,False,2023-01-23,2023-03-29
61,8,3,Tactical Intelligence Officer Intern,Personal Care and Service Occupations,False,True,True,True,2024-01-18,2024-03-10
62,8,34,Ranch Hand Supervisor Intern,Sales and Related Occupations,False,False,False,False,2025-01-22,2025-03-09
63,8,92,Can Sealer Intern,Healthcare Practitioners and Technical Occupations,True,False,False,False,2025-01-17,2025-03-20
64,8,77,OB/GYN Physician Intern,Production Occupations,True,True,True,True,2026-01-10,2026-03-03
65,8,56,Electrocardiogram Technician Intern,Military Specific Occupations,True,False,False,False,2026-01-13,2026-04-11
66,8,22,Word Processor Intern,Educational Instruction and Library Occupations,True,True,False,False,2026-01-24,2026-03-17
67,9,82,Cupola Repairer Intern,Military Specific Occupations,True,False,False,False,2020-01-16,2020-03-10
68,9,40,Kindergarten Special Education Teacher Intern,Military Specific Occupations,False,True,True,True,2020-01-14,2020-03-23
69,9,9,Real Estate Manager Intern,Healthcare Practitioners and Technical Occupations,True,True,False,False,2020-01-26,2020-03-22
70,9,42,Aerial Photographer Intern,Sales and Related Occupations,False,True,False,False,2020-01-13,2020-04-08
71,9,25,Bicycle Messenger Intern,Healthcare Practitioners and Technical Occupations,True,False,False,False,2021-01-29,2021-03-18
72,9,29,Cabinet Finisher Intern,Healthcare Practitioners and Technical Occupations,True,False,False,False,2021-01-02,2021-03-09
73,9,19,Stove Installer Intern,Healthcare Support Occupations,False,True,True,True,2021-01-13,2021-03-24
74,9,42,Combat Control Officer Intern,"Installation, Maintenance, and Repair Occupations",True,False,False,False,2022-01-28,2022-04-20
75,9,99,Nutrition Professor Intern,Architecture and Engineering Occupations,True,True,True,False,2022-01-30,2022-04-15
76,9,38,Crating and Moving Estimator Intern,"Life, Physical, and Social Science Occupations",True,True,False,False,2022-01-11,2022-03-19
77,9,58,Psychotherapist Social Worker Intern,Healthcare Practitioners and Technical Occupations,True,True,True,False,2023-01-15,2023-03-28
78,9,26,Tour Coordinator Intern,Architecture and Engineering Occupations,False,False,False,False,2023-01-29,2023-03-21
79,9,97,Indirect Fire Infantryman Intern,Computer and Mathematical Occupations,False,True,True,False,2024-01-22,2024-04-13
80,9,94,Tractor Mechanic Intern,Computer and Mathematical Occupations,True,False,False,False,2025-01-20,2025-03-07
81,9,17,Bugler Intern,Food Preparation and Serving Related Occupations,False,True,True,False,2025-01-21,2025-04-16
82,9,18,Residential Carpet Installer Intern,Healthcare Practitioners and Technical Occupations,True,False,False,False,2026-01-30,2026-04-09
83,9,19,Automotive Brake Adjuster Intern,Management Occupations,True,False,False,False,2026-01-10,2026-03-13
84,10,20,Steel Tier Intern,Computer and Mathematical Occupations,True,False,False,False,2021-01-21,2021-04-09
